,train,dev
finance,0.6454545454545455,0.9
vision,1.0,1.0
nlp,0.998,0.7933333333333333
bio,0.959,0.94
easy,1.0,1.0
speech,0.8275,0.81
hard,0.5344444444444445,0.45
